Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,ave,upper,lower
2018-10-23,SONATSOFTW,EQ,306.45,302.05,309.55,285.9,290.5,289.5,296.12,166687,49358565.9,9611,87850,52.7,10,2018,280.5011897195471,-0.05531081742535482,Slight or No change,325.132,358.631,291.633
2018-10-24,SONATSOFTW,EQ,289.5,295.0,295.25,270.4,275.8,275.3,277.49,302666,83986154.0,9735,129145,42.67,10,2018,280.4886887392237,-0.04905008635578578,Slight or No change,319.521,358.211,280.832
2018-10-25,SONATSOFTW,EQ,275.3,277.0,279.0,265.0,268.1,269.65,270.77,138376,37467651.1,7343,65489,47.33,10,2018,280.4767917164391,-0.02052306574645857,Slight or No change,315.225,361.595,268.855
2018-10-26,SONATSOFTW,EQ,269.65,275.0,285.75,269.65,272.05,274.65,278.82,247415,68983301.45,9077,98929,39.99,10,2018,280.46537858562044,0.01854255516410164,Slight or No change,312.268,363.442,261.093
2018-10-29,SONATSOFTW,EQ,274.65,277.0,288.9,275.25,282.15,282.75,283.55,172253,48842528.3,4332,58035,33.69,10,2018,280.46848986114526,0.029492080830147538,Slight or No change,309.679,363.009,256.348
2018-10-30,SONATSOFTW,EQ,282.75,283.0,293.9,283.0,287.3,286.5,289.31,106741,30881629.1,3376,39239,36.76,10,2018,280.47357553399655,0.013262599469495928,Slight or No change,307.361,361.765,252.957
2018-10-31,SONATSOFTW,EQ,286.5,291.0,313.0,287.0,309.1,308.55,302.12,332690,100512824.65,10993,110671,33.27,10,2018,280.54716790473464,0.07696335078534045,Slight or No change,305.511,357.662,253.36
2018-11-01,SONATSOFTW,EQ,308.55,310.0,314.95,305.75,310.35,310.75,311.19,108926,33897109.05,3866,38076,34.96,11,2018,280.573065409659,0.007130124777183554,Slight or No change,304.718,356.131,253.305
2018-11-02,SONATSOFTW,EQ,310.75,313.35,313.35,303.05,309.15,308.6,308.9,101948,31491489.85,5941,39191,38.44,11,2018,280.5955396292057,-0.006918744971842194,Slight or No change,303.825,354.441,253.209
2018-11-05,SONATSOFTW,EQ,308.6,313.0,322.0,309.35,310.3,312.5,316.24,204550,64687902.6,6641,78214,38.24,11,2018,280.64678834887343,0.012637718729747059,Slight or No change,302.011,349.06,254.961
2018-11-06,SONATSOFTW,EQ,312.5,312.8,326.0,312.45,321.9,320.4,320.47,161274,51683056.45,4830,59457,36.87,11,2018,280.69707110059943,0.02527999999999997,Slight or No change,300.429,342.87,257.988
