,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
405,SONATSOFTW,EQ,01-Jan-2019,302.65,303.3,304.0,300.2,302.5,302.45,301.94,36231,10939639.75,1081,19084,52.67,1,2019,281.82620395933986,-0.0006608293408226773,Slight or No change
406,SONATSOFTW,EQ,02-Jan-2019,302.45,302.85,307.8,300.35,300.4,301.55,303.3,74736,22667657.75,3043,31798,42.55,1,2019,281.83736856405704,-0.0029756984625557426,Slight or No change
407,SONATSOFTW,EQ,03-Jan-2019,301.55,301.55,303.0,295.0,295.55,295.25,298.38,111409,33242664.05,6622,78551,70.51,1,2019,281.84867669839457,-0.020892057701873634,Slight or No change
408,SONATSOFTW,EQ,04-Jan-2019,295.25,296.0,299.0,294.0,295.0,295.55,295.28,80326,23718817.45,4685,56872,70.8,1,2019,281.85700030280657,0.0010160880609653145,Slight or No change
409,SONATSOFTW,EQ,07-Jan-2019,295.55,299.0,301.4,295.0,295.0,295.75,297.27,35909,10674498.25,2335,15464,43.06,1,2019,281.86077232452476,0.0006767044493316554,Slight or No change
410,SONATSOFTW,EQ,08-Jan-2019,295.75,295.0,310.5,294.3,309.5,308.35,303.76,262166,79634349.05,12225,134045,51.13,1,2019,281.913175849052,0.04260355029585816,Slight or No change
411,SONATSOFTW,EQ,09-Jan-2019,308.35,310.0,311.5,301.2,304.05,305.1,305.08,92901,28342055.95,8010,49830,53.64,1,2019,281.9294190697393,-0.010539970812388555,Slight or No change
412,SONATSOFTW,EQ,10-Jan-2019,305.1,306.7,306.7,296.25,298.0,298.15,301.04,77409,23303119.2,8843,47544,61.42,1,2019,281.9388817663921,-0.022779416584726486,Slight or No change
413,SONATSOFTW,EQ,11-Jan-2019,298.15,299.0,303.0,295.5,297.05,297.55,297.46,105576,31404142.0,5412,82731,78.36,1,2019,281.9512928832361,-0.0020124098608081953,Slight or No change
414,SONATSOFTW,EQ,14-Jan-2019,297.55,296.1,300.0,295.1,298.0,297.2,297.42,62894,18705996.15,2506,40690,64.7,1,2019,281.95851140465464,-0.0011762728953117474,Slight or No change
415,SONATSOFTW,EQ,15-Jan-2019,297.2,297.0,306.45,297.0,304.45,305.05,303.84,106024,32213977.2,6038,48239,45.5,1,2019,281.97692402893097,0.026413189771197887,Slight or No change
416,SONATSOFTW,EQ,16-Jan-2019,305.05,305.8,309.85,303.95,306.3,306.9,307.13,77135,23690847.6,4690,52456,68.01,1,2019,281.99137379561574,0.0060645795771183675,Slight or No change
417,SONATSOFTW,EQ,17-Jan-2019,306.9,307.0,332.0,307.0,312.15,312.4,322.48,1169379,377103800.25,24781,239997,20.52,1,2019,282.25632094856417,0.017921146953405076,Slight or No change
418,SONATSOFTW,EQ,18-Jan-2019,312.4,312.9,314.9,304.0,307.25,306.15,309.89,136964,42444415.6,3884,67321,49.15,1,2019,282.28067962301566,-0.02000640204865556,Slight or No change
419,SONATSOFTW,EQ,21-Jan-2019,306.15,306.0,317.4,301.0,313.8,313.1,311.92,218258,68079385.25,7250,128487,58.87,1,2019,282.33066609210584,0.0227012902172139,Slight or No change
420,SONATSOFTW,EQ,22-Jan-2019,313.1,313.1,322.3,310.0,315.5,316.85,317.19,133964,42491806.1,5800,54507,40.69,1,2019,282.3649963933255,0.011977004152028181,Slight or No change
421,SONATSOFTW,EQ,23-Jan-2019,316.85,315.5,325.5,315.5,321.0,321.35,322.32,190118,61278019.2,6968,74106,38.98,1,2019,282.41994230515036,0.014202303929303994,Slight or No change
422,SONATSOFTW,EQ,24-Jan-2019,321.35,324.9,324.9,316.65,320.35,321.0,320.92,69068,22165011.7,2468,32758,47.43,1,2019,282.43968616272093,-0.0010891551268088495,Slight or No change
423,SONATSOFTW,EQ,25-Jan-2019,321.0,321.75,325.0,312.6,321.2,318.3,318.23,116743,37151698.7,4399,71188,60.98,1,2019,282.4706790247804,-0.008411214953271018,Slight or No change
424,SONATSOFTW,EQ,28-Jan-2019,318.3,319.5,322.0,309.15,313.8,316.2,314.91,131829,41513802.85,4829,93496,70.92,1,2019,282.5035650708407,-0.006597549481621168,Slight or No change
425,SONATSOFTW,EQ,29-Jan-2019,316.2,315.0,318.6,312.2,316.95,316.95,316.34,40465,12800584.5,2594,21401,52.89,1,2019,282.5138709957929,0.0023719165085389626,Slight or No change
426,SONATSOFTW,EQ,30-Jan-2019,316.95,314.4,348.0,314.4,322.0,327.65,322.75,61994,20008366.8,2640,37899,61.13,1,2019,282.53455040364474,0.03375926802334739,Slight or No change
427,SONATSOFTW,EQ,31-Jan-2019,327.65,322.6,327.15,318.9,321.0,321.05,322.81,44934,14505000.55,2551,23837,53.05,1,2019,282.5473362648893,-0.020143445750038014,Slight or No change
428,SONATSOFTW,EQ,01-Feb-2019,321.05,320.1,330.0,318.65,324.25,326.6,326.44,147318,48090953.7,6396,95690,64.95,2,2019,282.59522964704985,0.017287026942843786,Slight or No change
429,SONATSOFTW,EQ,04-Feb-2019,326.6,324.9,329.0,323.0,324.9,325.0,324.59,49059,15924132.7,3338,31136,63.47,2,2019,282.6105766550372,-0.004898958971218725,Slight or No change
430,SONATSOFTW,EQ,05-Feb-2019,325.0,324.0,327.95,323.45,325.0,325.35,325.65,26612,8666216.25,2402,14624,54.95,2,2019,282.61896567508217,0.0010769230769231974,Slight or No change
431,SONATSOFTW,EQ,06-Feb-2019,325.35,331.0,332.4,317.1,327.5,326.55,328.97,263951,86831793.7,4627,217321,82.33,2,2019,282.7043258159509,0.0036883356385430943,Slight or No change
432,SONATSOFTW,EQ,07-Feb-2019,326.55,326.55,332.4,326.15,329.15,328.85,328.26,159644,52404926.25,1926,138753,86.91,2,2019,282.7584927051079,0.007043331802174313,Slight or No change
433,SONATSOFTW,EQ,08-Feb-2019,328.85,328.25,337.45,324.6,331.7,333.55,332.66,140644,46787160.15,5124,64720,46.02,2,2019,282.81096302691935,0.014292230500227987,Slight or No change
434,SONATSOFTW,EQ,11-Feb-2019,333.55,332.05,333.55,322.4,325.15,325.95,327.12,125844,41166274.05,4806,87594,69.61,2,2019,282.8508015403671,-0.022785189626742697,Slight or No change
435,SONATSOFTW,EQ,12-Feb-2019,325.95,325.95,334.45,325.0,330.35,330.3,330.73,70896,23447298.6,5935,42612,60.1,2,2019,282.87547470688975,0.01334560515416472,Slight or No change
436,SONATSOFTW,EQ,13-Feb-2019,330.3,334.9,341.9,331.5,334.8,335.4,336.53,170176,57269195.45,7960,73674,43.29,2,2019,282.94095234272083,0.015440508628519423,Slight or No change
437,SONATSOFTW,EQ,14-Feb-2019,335.4,336.0,337.1,325.55,330.35,332.6,333.64,60740,20265039.2,6228,41430,68.21,2,2019,282.96303811156184,-0.008348240906380311,Slight or No change
438,SONATSOFTW,EQ,15-Feb-2019,332.6,332.4,337.0,325.1,333.2,329.85,330.04,176393,58216400.45,7045,136182,77.2,2,2019,283.0235181730863,-0.00826819001803969,Slight or No change
439,SONATSOFTW,EQ,18-Feb-2019,329.85,329.85,330.0,323.05,325.05,326.35,326.58,48637,15883716.15,5343,32910,67.66,2,2019,283.0389225647315,-0.010610883735031051,Slight or No change
440,SONATSOFTW,EQ,19-Feb-2019,326.35,330.0,337.0,325.3,337.0,334.9,334.19,135590,45313092.7,11249,86841,64.05,2,2019,283.09027526595276,0.026198866247893138,Slight or No change
441,SONATSOFTW,EQ,20-Feb-2019,334.9,334.95,353.0,334.85,345.45,344.65,342.84,490993,168332586.75,14402,311597,63.46,2,2019,283.31021901250773,0.029113168109883514,Slight or No change
442,SONATSOFTW,EQ,21-Feb-2019,344.65,347.0,351.0,336.05,338.3,338.45,346.3,463145,160386521.95,9126,378320,81.69,2,2019,283.49542732041584,-0.017989264471202637,Slight or No change
443,SONATSOFTW,EQ,22-Feb-2019,338.45,336.0,343.55,335.15,336.2,336.9,339.05,55805,18920890.5,3810,25713,46.08,2,2019,283.517032320549,-0.004579701580735729,Slight or No change
444,SONATSOFTW,EQ,25-Feb-2019,336.9,339.35,345.0,337.25,342.0,341.55,342.45,307760,105393229.7,9924,266986,86.75,2,2019,283.64622021020875,0.013802315227070538,Slight or No change
445,SONATSOFTW,EQ,26-Feb-2019,341.55,339.0,346.5,334.85,342.5,343.0,342.7,492876,168906591.2,19183,415766,84.36,2,2019,283.8570710573191,0.004245352071438946,Slight or No change
446,SONATSOFTW,EQ,27-Feb-2019,343.0,343.2,348.5,334.3,340.0,336.95,345.13,399106,137742712.65,5824,347872,87.16,2,2019,284.00935943022535,-0.017638483965014662,Slight or No change
447,SONATSOFTW,EQ,28-Feb-2019,336.95,338.0,342.35,335.1,337.5,338.1,338.39,89479,30279108.75,3394,47986,53.63,2,2019,284.0441215183949,0.0034129692832765013,Slight or No change
